PORT_NAME_FROM,PORT_NAME_TO,DISTANCE
AAHEIM,HALDIA,8652.67
AAHEIM,PARANAGUA,6304.48
AAHEIM,ROTTERDAM,699.72
AALBORG,TAMPA,4447.9
AARHUS,ANTWERP,651.84
AARHUS,BERGNESET,1107.4
AARHUS,BRAKE,474
AARHUS,GHENT,664
AARHUS,HALSA,905.97
AARHUS,TARRAGONA,2359.68
ABBOT POINT,BAHODOPI,2054.85
ABBOT POINT,BEILUN,3732.56
ABBOT POINT,CAMPHA,3531.77
ABBOT POINT,CAOFEIDIAN,4229.94
ABBOT POINT,CUA LO,3512.37
ABBOT POINT,DHAMRA,4581.12
ABBOT POINT,FANGCHENG,3828.3
ABBOT POINT,FOS,9644
ABBOT POINT,GANGAVARAM,4851.12
ABBOT POINT,GDYNIA,12216.6
ABBOT POINT,GHENT,11306.79
ABBOT POINT,GIJON,10480.85
ABBOT POINT,GO GIA BUOYS,3168.25
ABBOT POINT,GUANGZHOU,3463.02
ABBOT POINT,HALDIA,4722.3
ABBOT POINT,HIBIKINADA,3501.54
ABBOT POINT,HIGASHI-HARIMA,3600.6
ABBOT POINT,HON MIEU ANCHORAGE,3485.76
ABBOT POINT,HUANGHUA,4009.92
ABBOT POINT,IJMUIDEN,11570.56
ABBOT POINT,JINGTANG,4130
ABBOT POINT,KANDA,3625.08
ABBOT POINT,KAWASAKI,3591.61
ABBOT POINT,KOHSICHANG TPP,3817.44
ABBOT POINT,KRISHNAPATNAM,4756.95
ABBOT POINT,LAZARO CARDENAS,6506.55
ABBOT POINT,LULEA,12636.12
ABBOT POINT,MUNDRA,5970.06
ABBOT POINT,NANSHA,3534.3
ABBOT POINT,PARADIP,4488.75
ABBOT POINT,PHU MY,3306.6
ABBOT POINT,PORT TALBOT,11173
ABBOT POINT,PRAIA MOLE,8657.25
ABBOT POINT,QINZHOU,3598.65
ABBOT POINT,RICHARDS BAY,6826.59
ABBOT POINT,ROTTERDAM,11437
ABBOT POINT,SAN NICOLAS (ARGENTINA),8374.8
ABBOT POINT,SEPETIBA,8257.4
ABBOT POINT,SHANWEI POWER PLANT,3347.19
ABBOT POINT,SOMA,3642.06
ABBOT POINT,TOBATA,3644.46
ABBOT POINT,TUTICORIN,4601.28
ABBOT POINT,VISSAI NGHE AN,3717.27
ABBOT POINT,XIAMEN,3354
ABBOT POINT,YOKKAICHI,3609.12
ABBOT POINT,ZHANJIANG,3426.08
ABERDEEN (UNITED KINGDOM),GHENT,432.28
ABIDJAN,AMSTERDAM,3709.3
ABIDJAN,CAMDEN,4702.88
ABIDJAN,ILHEUS,2386.89
ABIDJAN,PHILADELPHIA,4301.6
ABIDJAN,VISAKHAPATNAM,7390.05
ABIDJAN,ZHENJIANG,10123.89
ABU DHABI,KOHSICHANG TPP,4214
ABU DHABI,MANILA,4974.9
ABU DHABI,NANTONG,5741
ABU QIR,IPSWICH,3018.15
ABU QIR,SAN NICOLAS (ARGENTINA),7544.16
ABU QIR,ST MALO,2810.88
ACAJUTLA,BAYUQUAN,8254.48
ACAJUTLA,INCHEON,7742.66
ACAJUTLA,KAOHSIUNG,7901.62
